date,leg,regime,gex,direction,of_ratio,strike,entry_cost_pts,exit,pnl_pts,pnl_usd,r_multiple
20250610,H3_stack,long_gamma,11506252746.833748,up,0.1567373674360574,6040.0,3.2,prem_stop,-1.6500000000000001,-167.0,-0.515625
20250612,H3_stack,long_gamma,19804713847.78084,down,-0.20220841959972394,6035.0,1.95,time_stop,0.15000000000000013,13.000000000000014,0.076923076923077
20250613,H3_stack,long_gamma,42639057036.98806,up,0.15218873585162962,6010.0,6.3,prem_stop,-3.1999999999999997,-322.0,-0.5079365079365079
20250617,H3_stack,long_gamma,25886921276.721867,up,0.21135225375626043,6025.0,6.6,prem_stop,-3.3999999999999995,-341.99999999999994,-0.5151515151515151
20250618,H3_stack,short_gamma,-63314497753.97732,up,0.1502868068833652,6020.0,7.7,prem_stop,-4.0,-402.0,-0.5194805194805194
20250624,H3_stack,long_gamma,26555274996.765648,up,0.1691053010314224,6100.0,2.05,target,0.0,-2.0,0.0
20250625,H3_stack,long_gamma,64780371681.15051,up,0.15503724029792237,6115.0,3.4,target,0.0,-2.0,0.0
20250626,H3_stack,long_gamma,37209237080.56326,down,-0.16483516483516483,6125.0,3.3,prem_stop,-1.65,-167.0,-0.5
20250627,H3_stack,long_gamma,52194522302.26695,down,-0.15592926919747743,6160.0,4.1,prem_stop,-2.05,-206.99999999999997,-0.5
20250701,H3_stack,long_gamma,108736648381.77533,up,0.153104512148091,6215.0,3.1,target,1.1999999999999997,117.99999999999997,0.38709677419354827
20250702,H3_stack,long_gamma,29293120461.309162,up,0.16302892730341656,6220.0,2.4,target,0.8000000000000003,78.00000000000003,0.3333333333333335
20250703,H3_stack,long_gamma,33371189005.194916,down,-0.19119519738038931,6275.0,1.75,prem_stop,-1.0,-102.0,-0.5714285714285714
20250708,H3_stack,long_gamma,20042456984.288395,up,0.1865493486119637,6245.0,3.0,target,0.5,48.0,0.16666666666666666
20250709,H3_stack,short_gamma,-7582144347.306601,up,0.16036917251715704,6255.0,4.2,prem_stop,-2.1,-212.0,-0.5
20250710,H3_stack,long_gamma,30342516571.56695,up,0.1730112890522447,6290.0,2.4,target,0.0,-2.0,0.0
20250711,H3_stack,long_gamma,30385909154.357243,down,-0.17013565289427357,6250.0,3.8,target,0.40000000000000036,38.000000000000036,0.10526315789473695
20250715,H3_stack,long_gamma,28982698438.39315,down,-0.15025146689019278,6255.0,4.6,prem_stop,-2.4499999999999997,-246.99999999999997,-0.532608695652174
20250716,H3_stack,long_gamma,4241564617.857605,up,0.1588246233959457,6265.0,2.8,prem_stop,-1.4499999999999997,-146.99999999999997,-0.5178571428571428
20250717,H3_stack,long_gamma,7886723763.174651,up,0.1561525545694411,6300.0,2.15,prem_stop,-1.0999999999999999,-111.99999999999999,-0.5116279069767441
20250718,H3_stack,long_gamma,55382707673.35511,up,0.15466020655361468,6305.0,4.9,prem_stop,-2.6500000000000004,-267.00000000000006,-0.5408163265306123
20250722,H3_stack,long_gamma,35697432672.56679,up,0.15524475524475526,6300.0,5.3,target,4.6000000000000005,458.00000000000006,0.8679245283018869
20250723,H3_stack,long_gamma,32240563928.931454,down,-0.1654861558274308,6330.0,2.5,prem_stop,-1.3,-132.0,-0.52
20250724,H3_stack,long_gamma,73734634044.45221,down,-0.15703618609994255,6365.0,3.1,prem_stop,-1.55,-157.0,-0.5
20250725,H3_stack,long_gamma,57565360172.81259,up,0.21693661522764954,6385.0,3.8,time_stop,5.3999999999999995,538.0,1.4210526315789473
20250729,H3_stack,long_gamma,136766705142.99936,up,0.1686,6390.0,2.25,prem_stop,-1.15,-116.99999999999999,-0.5111111111111111
20250730,H3_stack,short_gamma,-13106395417.948215,up,0.19923777260215964,6400.0,5.8,prem_stop,-2.9,-292.0,-0.5
20250731,H3_stack,short_gamma,-25242492441.159313,down,-0.15258698692111541,6350.0,3.9,target,1.8000000000000003,178.00000000000003,0.4615384615384616
20250805,H3_stack,long_gamma,65728454669.638245,up,0.19303615840826477,6320.0,3.0,prem_stop,-1.55,-157.0,-0.5166666666666667
20250806,H3_stack,long_gamma,2357757526.547599,up,0.15014844292843155,6345.0,3.1,target,0.7999999999999998,77.99999999999999,0.2580645161290322
20250807,H3_stack,long_gamma,113335171717.58603,down,-0.16733369388858843,6310.0,3.4,prem_stop,-1.8499999999999999,-187.0,-0.5441176470588235
20250812,H3_stack,long_gamma,19625568731.080345,up,0.2058915050305985,6435.0,4.6,target,0.40000000000000036,38.000000000000036,0.08695652173913052
20250814,H3_stack,long_gamma,64005331927.11966,up,0.16626161543959972,6470.0,3.0,prem_stop,-1.55,-157.0,-0.5166666666666667
20250815,H3_stack,long_gamma,64812791891.13649,up,0.16102155406629234,6465.0,1.7,prem_stop,-0.85,-87.0,-0.5
20250819,H3_stack,long_gamma,85509785136.38809,up,0.16304347826086957,6420.0,2.5,prem_stop,-1.45,-147.0,-0.58
20250821,H3_stack,short_gamma,-32487121213.812473,down,-0.16665770946418015,6360.0,5.8,target,1.4000000000000004,138.00000000000003,0.24137931034482765
20250822,H3_stack,short_gamma,-20289054081.47322,down,-0.1683997905289145,6450.0,4.2,prem_stop,-2.2,-222.00000000000003,-0.5238095238095238
20250826,H3_stack,short_gamma,-11787019914.804958,up,0.15655296229802512,6450.0,3.2,prem_stop,-1.6,-162.0,-0.5
20250827,H3_stack,long_gamma,11343897033.949245,up,0.15655853314527504,6485.0,2.35,prem_stop,-1.2000000000000002,-122.00000000000001,-0.5106382978723405
20250828,H3_stack,long_gamma,63920245541.28196,up,0.2087848576795261,6500.0,2.2,target,0.8999999999999999,87.99999999999999,0.409090909090909
20250829,H3_stack,long_gamma,60409224780.03666,up,0.15161502966381016,6470.0,4.8,prem_stop,-2.4499999999999997,-246.99999999999997,-0.5104166666666666
20250902,H3_stack,short_gamma,-8319542770.809695,up,0.16408726459071415,6375.0,9.1,time_stop,18.799999999999997,1877.9999999999998,2.0659340659340657
20250903,H3_stack,short_gamma,-32642340930.41951,up,0.16156655333081477,6450.0,4.1,prem_stop,-2.05,-206.99999999999997,-0.5
20250904,H3_stack,long_gamma,69293318882.70644,up,0.22661030147958616,6465.0,3.9,target,1.1999999999999997,117.99999999999997,0.30769230769230765
20250909,H3_stack,long_gamma,41459404321.038895,up,0.18774101887558353,6510.0,3.3,target,0.20000000000000018,18.000000000000018,0.06060606060606066
20250910,H3_stack,long_gamma,51739242139.4825,down,-0.17571676802780192,6535.0,4.0,time_stop,12.899999999999999,1287.9999999999998,3.2249999999999996
20250911,H3_stack,long_gamma,72582872812.14839,down,-0.15445628997867805,6570.0,4.2,prem_stop,-2.1500000000000004,-217.00000000000003,-0.511904761904762
20250912,H3_stack,long_gamma,68279972718.18933,down,-0.17557845615399573,6585.0,2.05,prem_stop,-1.0999999999999999,-111.99999999999999,-0.5365853658536586
20250916,H3_stack,long_gamma,116038073166.23206,down,-0.17076244486452427,6595.0,4.6,prem_stop,-2.3,-231.99999999999997,-0.5
20250917,H3_stack,long_gamma,20523536814.26217,up,0.1967654986522911,6630.0,9.9,target,2.799999999999999,277.9999999999999,0.2828282828282827
20250918,H3_stack,short_gamma,-49488375977.66311,up,0.16402439024390245,6640.0,7.2,target,11.100000000000001,1108.0000000000002,1.5416666666666667
20250923,H3_stack,long_gamma,65093420747.74219,up,0.19558267945364718,6695.0,2.1,prem_stop,-1.1,-112.00000000000001,-0.5238095238095238
20250924,H3_stack,long_gamma,735125769.1747127,up,0.17419354838709677,6645.0,4.4,prem_stop,-2.3000000000000003,-232.00000000000003,-0.5227272727272727
20250925,H3_stack,short_gamma,-24426722501.09815,up,0.16740499653437002,6620.0,6.6,prem_stop,-3.3999999999999995,-341.99999999999994,-0.5151515151515151
20250926,H3_stack,short_gamma,-38741498349.0645,down,-0.162745267028642,6605.0,4.6,target,9.3,928.0000000000001,2.0217391304347827
