date,leg,regime,gex,entry_spx,k_call_short,k_put_short,credit_pts,exit,pnl_pts,pnl_usd,r_multiple
20240314,H1_pin,long_gamma,28483597401.238033,5156.31,5180.0,5125.0,3.5999999999999996,stop,3.5999999999999996,351.99999999999994,0.144
20240319,H1_pin,long_gamma,21451533046.26313,5135.67,5155.0,5110.0,3.15,stop,-3.4499999999999997,-353.0,-0.13799999999999998
20240322,H1_pin,long_gamma,43386966066.51022,5236.28,5255.0,5215.0,2.4999999999999996,settle,2.4999999999999996,245.99999999999994,0.09999999999999998
20240327,H1_pin,short_gamma,-5488844543.079335,5209.83,5235.0,5190.0,2.85,stop,2.770000000000073,269.0000000000073,0.11080000000000291
20240328,H1_pin,long_gamma,30482389894.005745,5248.99,5270.0,5230.0,2.4499999999999997,settle,2.4499999999999997,240.99999999999997,0.09799999999999999
20240403,H1_pin,short_gamma,-28729249468.157127,5221.06,5245.0,5200.0,2.5999999999999996,stop,2.5999999999999996,251.99999999999994,0.10399999999999998
20240404,H1_pin,short_gamma,-1459457919.1764996,5241.24,5260.0,5225.0,2.7,stop,-0.10000000000000009,-18.000000000000007,-0.0040000000000000036
20240405,H1_pin,short_gamma,-32580892130.01123,5166.71,5205.0,5130.0,3.7,stop,-6.45,-653.0,-0.258
20240417,H1_pin,short_gamma,-36128217380.70883,5061.41,5095.0,5020.0,4.0,stop,-4.949999999999999,-502.99999999999994,-0.19799999999999998
20240418,H1_pin,short_gamma,-36247199639.13047,5042.46,5075.0,5000.0,3.6500000000000004,settle,3.6500000000000004,361.00000000000006,0.14600000000000002
20240423,H1_pin,short_gamma,-18305403792.480507,5065.6,5090.0,5025.0,3.149999999999999,settle,3.149999999999999,310.9999999999999,0.12599999999999997
20240426,H1_pin,short_gamma,-12059707832.879856,5083.67,5120.0,5050.0,3.700000000000001,settle,3.700000000000001,366.0000000000001,0.14800000000000005
20240430,H1_pin,long_gamma,14291934183.091368,5094.42,5120.0,5070.0,2.6,stop,-2.4,-248.0,-0.096
20240502,H1_pin,short_gamma,-36574401744.074745,5033.39,5070.0,4990.0,3.9999999999999996,stop,3.609999999999672,352.9999999999672,0.14439999999998687
20240508,H1_pin,long_gamma,43078379022.44858,5184.45,5205.0,5160.0,2.2,settle,2.2,216.00000000000003,0.08800000000000001
20240521,H1_pin,long_gamma,15979728560.646559,5306.13,5325.0,5290.0,1.55,settle,1.55,151.0,0.062
20240522,H1_pin,long_gamma,23001409211.466812,5319.41,5335.0,5305.0,2.0,stop,-2.5999999999999996,-267.99999999999994,-0.10399999999999998
20240524,H1_pin,short_gamma,-34998074778.5837,5295.59,5315.0,5270.0,2.75,settle,2.75,271.0,0.11
20240604,H1_pin,long_gamma,4611578919.226686,5275.15,5305.0,5245.0,2.9499999999999997,settle,2.9499999999999997,291.0,0.118
20240605,H1_pin,long_gamma,5418504134.190567,5312.59,5335.0,5280.0,3.25,stop,-3.4000000000000004,-348.00000000000006,-0.136
20240613,H1_pin,long_gamma,48356717183.63151,5419.78,5445.0,5390.0,3.3000000000000007,settle,3.3000000000000007,326.00000000000006,0.13200000000000003
20240614,H1_pin,long_gamma,31627042491.02086,5413.24,5440.0,5385.0,2.75,settle,2.75,271.0,0.11
20240626,H1_pin,long_gamma,15937240151.631428,5463.05,5485.0,5435.0,2.4499999999999993,settle,2.4499999999999993,240.99999999999994,0.09799999999999998
20240702,H1_pin,long_gamma,6470948989.907822,5474.84,5495.0,5450.0,2.95,stop,-1.8499999999999996,-192.99999999999997,-0.07399999999999998
20240711,H1_pin,long_gamma,99055407911.23796,5623.66,5645.0,5585.0,3.3499999999999988,stop,-4.300000000000002,-438.00000000000017,-0.17200000000000007
20240718,H1_pin,short_gamma,-17405799967.969757,5607.02,5635.0,5580.0,3.2500000000000004,stop,-5.9,-598.0,-0.23600000000000002
20240726,H1_pin,short_gamma,-83724613603.85326,5444.72,5490.0,5405.0,4.35,settle,4.35,430.99999999999994,0.174
20240730,H1_pin,short_gamma,-10579619022.286736,5462.04,5495.0,5430.0,3.5999999999999996,stop,-4.200000000000001,-428.0000000000001,-0.16800000000000004
20240731,H1_pin,short_gamma,-29586639547.51217,5536.19,5575.0,5470.0,5.1,settle,5.1,505.99999999999994,0.204
20240801,H1_pin,long_gamma,14252518871.034126,5509.55,5550.0,5465.0,4.299999999999999,stop,-2.8000000000000007,-288.00000000000006,-0.11200000000000003
20240806,H1_pin,short_gamma,-62186498151.68918,5225.08,5300.0,5165.0,4.649999999999999,settle,4.649999999999999,460.9999999999999,0.18599999999999994
20240808,H1_pin,short_gamma,-50203215838.76622,5293.0,5345.0,5225.0,4.6,settle,4.6,455.99999999999994,0.184
20240813,H1_pin,short_gamma,-9332769773.754204,5377.14,5420.0,5340.0,3.6000000000000005,stop,-6.250000000000001,-633.0000000000001,-0.25000000000000006
20240816,H1_pin,long_gamma,38581609882.42581,5539.97,5570.0,5505.0,3.35,settle,3.35,331.0,0.134
20240823,H1_pin,short_gamma,-4231552437.7330627,5634.39,5675.0,5590.0,3.6499999999999995,stop,3.6499999999999995,356.99999999999994,0.146
20240828,H1_pin,long_gamma,18225190057.71401,5620.8,5640.0,5595.0,2.7499999999999996,stop,-3.2000000000000006,-328.00000000000006,-0.12800000000000003
20240903,H1_pin,long_gamma,64254722187.045006,5572.4,5605.0,5535.0,4.3500000000000005,stop,-0.4999999999999991,-57.999999999999915,-0.019999999999999966
20240904,H1_pin,short_gamma,-26225599929.899994,5534.43,5575.0,5495.0,3.8499999999999996,settle,3.8499999999999996,380.99999999999994,0.154
20240905,H1_pin,short_gamma,-29240009444.656254,5546.07,5570.0,5505.0,3.9,stop,-4.000000000000002,-408.00000000000017,-0.16000000000000006
20240910,H1_pin,short_gamma,-16024166281.688105,5473.05,5510.0,5435.0,3.7,settle,3.7,366.0,0.14800000000000002
20240911,H1_pin,long_gamma,12971779594.00211,5415.27,5465.0,5370.0,4.199999999999999,stop,-3.8000000000000007,-388.00000000000006,-0.15200000000000002
20240918,H1_pin,long_gamma,27666877099.983418,5631.08,5705.0,5550.0,5.399999999999999,settle,5.399999999999999,535.9999999999999,0.21599999999999994
20240919,H1_pin,long_gamma,17698052148.502,5720.01,5750.0,5675.0,3.6999999999999997,settle,3.6999999999999997,366.0,0.148
20240924,H1_pin,long_gamma,44166247575.63949,5702.07,5730.0,5675.0,3.0500000000000003,stop,-4.1,-417.99999999999994,-0.16399999999999998
20240925,H1_pin,long_gamma,51803373617.503426,5732.68,5755.0,5705.0,2.5,settle,2.5,246.0,0.1
20240926,H1_pin,long_gamma,28311266343.664246,5749.01,5770.0,5720.0,3.0999999999999996,settle,3.0999999999999996,305.99999999999994,0.12399999999999999
20241001,H1_pin,long_gamma,32283585325.203606,5695.23,5740.0,5650.0,4.000000000000001,settle,4.000000000000001,396.0000000000001,0.16000000000000003
20241004,H1_pin,short_gamma,-45798405106.826324,5705.69,5745.0,5660.0,4.2,stop,4.2,412.0,0.168
20241008,H1_pin,short_gamma,-34725428812.96011,5727.44,5755.0,5695.0,2.8,settle,2.8,276.0,0.11199999999999999
20241010,H1_pin,long_gamma,76669466186.74474,5782.04,5810.0,5745.0,2.9,settle,2.9,286.0,0.11599999999999999
20241015,H1_pin,long_gamma,54262913960.17539,5847.6,5870.0,5820.0,3.1,stop,3.1,302.0,0.124
20241018,H1_pin,long_gamma,11035611492.420908,5848.47,5875.0,5825.0,2.55,settle,2.55,250.99999999999997,0.102
20241024,H1_pin,short_gamma,-40368218500.2199,5810.17,5835.0,5775.0,3.05,settle,3.05,301.0,0.122
20241029,H1_pin,long_gamma,12483238998.827682,5820.77,5845.0,5795.0,2.7500000000000004,stop,2.7500000000000004,267.00000000000006,0.11000000000000001
20241101,H1_pin,short_gamma,-55499029943.37645,5762.95,5795.0,5735.0,3.5500000000000003,stop,0.7499999999998184,66.99999999998184,0.029999999999992734
20241105,H1_pin,short_gamma,-25173660333.627304,5757.44,5785.0,5720.0,3.3499999999999996,settle,3.3499999999999996,330.99999999999994,0.13399999999999998
20241112,H1_pin,long_gamma,34008698350.735855,5994.6,6015.0,5965.0,2.8,stop,-2.55,-263.0,-0.102
20241119,H1_pin,short_gamma,-849483630.3898149,5870.62,5905.0,5840.0,3.1000000000000005,stop,-3.95,-403.0,-0.158
20241127,H1_pin,long_gamma,37179197807.05571,6004.38,6025.0,5980.0,2.5999999999999996,settle,2.5999999999999996,255.99999999999994,0.10399999999999998
20241205,H1_pin,long_gamma,63499037559.465576,6083.24,6100.0,6060.0,1.95,settle,1.95,191.0,0.078
20241206,H1_pin,long_gamma,30750426376.255116,6095.86,6115.0,6075.0,1.8500000000000005,settle,1.8500000000000005,181.00000000000006,0.07400000000000002
20241211,H1_pin,short_gamma,-62228006224.781876,6070.41,6090.0,6050.0,1.9,settle,1.9,186.0,0.076
20241212,H1_pin,long_gamma,58701457283.47618,6075.94,6090.0,6055.0,2.0999999999999996,stop,2.0999999999999996,201.99999999999997,0.08399999999999999
20241213,H1_pin,short_gamma,-26641809661.06235,6057.25,6080.0,6035.0,2.05,stop,-2.5,-258.0,-0.1
20241218,H1_pin,short_gamma,-34076869306.881355,6064.36,6095.0,6020.0,4.1000000000000005,stop,-4.45,-453.0,-0.17800000000000002
20241219,H1_pin,short_gamma,-45067521286.46239,5898.41,5940.0,5835.0,3.8500000000000005,settle,3.8500000000000005,381.00000000000006,0.15400000000000003
20241231,H1_pin,short_gamma,-27758139940.197308,5921.44,5965.0,5870.0,4.449999999999999,stop,4.449999999999999,436.99999999999994,0.17799999999999996
